Name,Text,URL,,
ABX IDP ERYTHROMYCIN OPHTHALMIC LEXI,114  Erythromycin Ophthalmic,http://www.uptodate.com/contents/search.do?unid=minmasoub&srcsys=UTD187508&eiv=2.1.0,,
ABX IDP ERYTHROMYCIN SANFORD,116  Erythromycin,https://dva.sanfordguide.com/drug-information/antibacterial-agents/macrolides/erythromycin-base-esters#autotoc-item-autotoc-1,,
ABX IDP ETHAMBUTOL SANFORD,120  Ethambutol,https://dva.sanfordguide.com/drug-information/antimycobacterial-agents/ethambutol,,
ABX IDP FLUCONAZOLE SANFORD,130  Fluconazole,https://dva.sanfordguide.com/drug-information/antifungal-agents/azoles/fluconazole,,
ABX IDP FLUCYTOSINE SANFORD,134  Flucytosine,https://dva.sanfordguide.com/drug-information/antifungal-agents/flucytosine,,
ABX IDP FLUOROQUINOLONE ADVERSE REACTIONS,Fluoroquinolones FDA Update Serious Adverse Effects,https://dva.sanfordguide.com/drug-information/antibacterial-agents/fluoroquinolones/fluoroquinolones-overview,,
ABX IDP FOSCARNET SANFORD,136  Foscarnet,https://dva.sanfordguide.com/drug-information/antiviral-agents/herpesvirus/foscarnet,,
ABX IDP FOSFOMYCIN SANFORD,138  Fosfomycin,https://dva.sanfordguide.com/drug-information/antibacterial-agents/agents-urinary-tract/fosfomycin,,
ABX IDP GANCICLOVIR SANFORD,144  Ganciclovir,https://dva.sanfordguide.com/drug-information/antiviral-agents/herpesvirus/ganciclovir,,
ABX IDP GENTAMICIN SANFORD,146  Gentamicin,https://dva.sanfordguide.com/drug-information/antibacterial-agents/amino-glycosides/gentamicin,,
ABX IDP GRISEOFULVIN SANFORD,148  Griseofulvin,https://dva.sanfordguide.com/drug-information/antifungal-agents/griseofulvin,,
ABX IDP IODOQUINOL SANFORD,150  Iodoquinol,https://dva.sanfordguide.com/drug-information/antiparasitic-agents/iodoquinol,,
ABX IDP ITRACONAZOLE NEW SANFORD,152  Itraconazole,https://dva.sanfordguide.com/drug-information/antifungal-agents/azoles/itraconazole,,
ABX IDP ITRACONAZOLE SANFORD,154  Itraconazole,https://dva.sanfordguide.com/drug-information/antifungal-agents/azoles/itraconazole,,
ABX IDP LEVOFLOXACIN SANFORD,156  Levofloxacin,https://dva.sanfordguide.com/drug-information/antibacterial-agents/fluoroquinolones/levofloxacin,,
ABX IDP LINEZOLID SANFORD,160  Linezolid,https://dva.sanfordguide.com/drug-information/antibacterial-agents/oxazolidinones/linezolid-zyvox,,
ABX IDP MEROPENEM SANFORD,170  Meropenem,https://dva.sanfordguide.com/drug-information/antibacterial-agents/carbapenems/meropenem,,
ABX IDP METRONIDAZOLE SANFORD,172  Metronidazole IV & Oral,https://dva.sanfordguide.com/drug-information/antibacterial-agents/nitroimidazoles/metronidazole#autotoc-item-autotoc-1,,
ABX IDP METRONIDAZOLE TOPICAL LEXI,176  Metronidazole Topical,http://www.uptodate.com/contents/search.do?unid=minmasoub&srcsys=UTD187508&eiv=2.1.0,,
ABX IDP MICAFUNGIN SANFORD,178  Micafungin,https://dva.sanfordguide.com/drug-information/antifungal-agents/echinocandins/micafungin,,
ABX IDP MINOCYCLINE SANFORD,180  Minocycline,https://dva.sanfordguide.com/drug-information/antibacterial-agents/tetra-cyclines/minocycline,,
ABX IDP MOXIFLOXACIN OPHTHALMIC LEXI,182  Moxifloxacin Ophthalmic,http://www.uptodate.com/contents/search.do?unid=minmasoub&srcsys=UTD187508&eiv=2.1.0,,
ABX IDP MOXIFLOXACIN SANFORD,184  Moxifloxacin,https://dva.sanfordguide.com/drug-information/antibacterial-agents/fluoroquinolones/moxifloxacin,,
ABX IDP NAFCILLIN SANFORD,200  Nafcillin,https://dva.sanfordguide.com/drug-information/antibacterial-agents/penicillins/antistaphylo-coccal-penicillins/nafcillin,,
ABX IDP NEOMYCIN,202  Neomycin,https://dva.sanfordguide.com/drug-information/antibacterial-agents/amino-glycosides/neomycin,,
ABX IDP NEOMYCIN SANFORD,202  Neomycin,https://dva.sanfordguide.com/drug-information/antibacterial-agents/amino-glycosides/neomycin,,
ABX IDP NITAZOXANIDE SANFORD,204  Nitazoxanide,https://dva.sanfordguide.com/drug-information/antiparasitic-agents/nitazoxanide,,
ABX IDP NITROFURANTOIN SANFORD,206  Nitrofurantoin,https://dva.sanfordguide.com/drug-information/antibacterial-agents/agents-urinary-tract/nitrofurantoin,,
ABX IDP OSELTAMIVIR SANFORD,208  Oseltamivir,https://dva.sanfordguide.com/drug-information/antiviral-agents/influenza/oseltamivir,,
ABX IDP PAROMOMYCIN SANFORD,220  Paromomycin,https://dva.sanfordguide.com/drug-information/antiparasitic-agents/paromomycin,,
ABX IDP PENICILLIN IV SANFORD,224  Penicillin IV,https://dva.sanfordguide.com/drug-information/antibacterial-agents/penicillins/penicillin-g,,
ABX IDP PENICILLIN VK SANFORD,222  Penicillin VK PO,https://dva.sanfordguide.com/drug-information/antibacterial-agents/penicillins/penicillin-v,,
ABX IDP PIPERACILLIN-TAZOBACTAM SANFORD,226  Piperacillin-tazobactam,https://dva.sanfordguide.com/drug-information/antibacterial-agents/penicillins/anti-pseudomonal-penicillins/piperacillin-tazobactam,,
ABX IDP PYRIMETHAMINE SANFORD,228  Pyrimethamine,https://dva.sanfordguide.com/drug-information/antiparasitic-agents/pyrimethamine,,
ABX IDP QUINUPRISTIN-DALFOPRISTIN,230  Quinupristin-Dalfopristin,https://dva.sanfordguide.com/drug-information/antibacterial-agents/streptogramins/quinupristin-dalfopristin,,
ABX IDP QUINUPRISTIN-DALFOPRISTIN SANFORD,230  Quinupristin-Dalfopristin,https://dva.sanfordguide.com/drug-information/antibacterial-agents/streptogramins/quinupristin-dalfopristin,,
ABX IDP RALTEGRAVIR SANFORD,238  Raltegravir,https://dva.sanfordguide.com/drug-information/antiretroviral-agents/raltegravir,,
ABX IDP RIFABUTIN SANFORD,240  Rifabutin,https://dva.sanfordguide.com/drug-information/antimycobacterial-agents/rifabutin,,
ABX IDP RIFAMPIN SANFORD,242  Rifampin,https://dva.sanfordguide.com/drug-information/antimycobacterial-agents/rifampin,,
ABX IDP RIFAXIMIN SANFORD,244  Rifaximin,https://dva.sanfordguide.com/drug-information/antibacterial-agents/rifamycin/rifaximin,,
ABX IDP STREPTOMYCIN SANFORD,246  Streptomycin,https://dva.sanfordguide.com/drug-information/antibacterial-agents/amino-glycosides/streptomycin,,
ABX IDP SULFACETAMIDE OPHTHALMIC LEXI,248  Sulfacetamide Ophthalmic,https://online.lexi.com/lco/action/doc/retrieve/docid/patch_f/1801743,,
ABX IDP SULFADIAZINE SANFORD,250  Sulfadiazine,https://dva.sanfordguide.com/drug-information/antiparasitic-agents/sulfadiazine,,
ABX IDP TERCONAZOLE LEXI,252  Terconazole,http://www.uptodate.com/contents/search.do?unid=minmasoub&srcsys=UTD187508&eiv=2.1.0,,
ABX IDP TETRACYCLINE SANFORD,254  Tetracycline,https://dva.sanfordguide.com/drug-information/antibacterial-agents/tetra-cyclines/tetracycline,,
ABX IDP TOBRAMYCIN SANFORD,256  Tobramycin,https://dva.sanfordguide.com/drug-information/antibacterial-agents/amino-glycosides/tobramycin,,
ABX IDP TRIMETHOPRIM SANFORD,258  Trimethoprim,https://dva.sanfordguide.com/drug-information/antibacterial-agents/trimethoprim-sulfonamides/trimethoprim,,
ABX IDP TRIMETHOPRIM-SULFAMETHOXAZOLE SANFORD,260  Trimethoprim-sulfamethoxazole,https://dva.sanfordguide.com/drug-information/antibacterial-agents/trimethoprim-sulfonamides/trimethoprim-sulfamethoxazole,,
ABX IDP VALACYCLOVIR SANFORD,270  Valacyclovir,https://dva.sanfordguide.com/drug-information/antiviral-agents/herpesvirus/valacyclovir,,
ABX IDP VALGANCICLOVIR SANFORD,272  Valganciclovir,https://dva.sanfordguide.com/drug-information/antiviral-agents/herpesvirus/valganciclovir,,
ABX IDP VANCOMYCIN SANFORD,274  Vancomycin,https://dva.sanfordguide.com/drug-information/antibacterial-agents/glyco-lipoglyco-peptides/vancomycin,,
ABX IDP VORICONAZOLE SANFORD,276  Voriconazole,https://dva.sanfordguide.com/drug-information/antifungal-agents/azoles/voriconazole,,
ABX IDP ZANAMIVIR SANFORD,280  Zanamivir,https://dva.sanfordguide.com/drug-information/antiviral-agents/influenza/zanamavir,,
ABX IL6 INHIBITOR PBM,IL6 INHIBITOR PBM DOCUMENT,\\v23.med.va.gov\V23\VISN 23\Services\VHA13FPC14\VISN23\CDSS\IL6 INHIBITOR.docx,,
ABX INDICATION,Please enter specific infectious disease/syndrome for antimicrobial order. This will print on RX label.,,,
ABX INDICATION BY CATEGORY,"Please select indication for antimicrobial below. If ""other"" selected, please be specific.",,,
ABX INDICATION CARDIOVASCULAR,"EndocarditisMyocarditisPericarditisInfections involving cardiac devicesSuppurative ThrombophlebitisCardiac Lyme DiseaseOther:Cardiovascular, specific: ____",,,
ABX INDICATION FREETEXT,Indication: __________________________,,,
ABX INDICATION GENITOURINARY,"Complicated CystitisUncomplicated CystitisPyelonephritisUrosepsisEpididymitisPelvic Inflammatory DiseaseProstatitisVaginitisOther:Genitourinary,specific:____",,,
ABX INDICATION GI AND INTRAABDOMINAL,"Appendicitis CholecystitisCholangitisPancreatitisDiverticulitisThrushEsophagitisPeritonitisC difficile diseaseHelicobacter pylori diseaseInfectious diarrhea Other: GI/Intrabdominal,specific:____",,,
ABX INDICATION HEADER,INDICATION:,,,
ABX INDICATION HEADING,Select indication from dropdown list:,,,
ABX INDICATION LUNGS AND MEDIASTINUM,"BronchitisEmpyemaInfluenzaLung abscessMediastinitisPertussisTuberculosisAspiration pneumoniaCommunity-acquired pneumoniaNosocomial pneumonia (HAP, VAP, HCAP)Other:Pulmonary,specific:______",,,
ABX INDICATION OTHER,,,,
ABX INDICATION PRE,*CDSS menu:,,,
ABX INFLUENZA 2017-2018 EDUCATION,,\\v23.med.va.gov\V23\VISN 23\Services\VHA13FPC14\VISN23\CDSS\Influenza.pdf,,
ABX INFLUENZA INPATIENT,Influenza Inpatient,https://dvagov.sharepoint.com/:w:/r/sites/vhav23/CDSS/CDSS%20Resources/Inpatient%20Flu%20Vaccine%20guidelines%2022-23.docx?d=wb84816eae83140a28f0c7c3d9a5268e2&csf=1&web=1&e=camFGy,,
ABX INFLUENZA OUTPATIENT,Influenza Outpatient,https://dvagov.sharepoint.com/:w:/r/sites/vhav23/CDSS/CDSS%20Resources/Outpatient%20Flu%20vaccine%20guidelines%2022-23.docx?d=w0733307ce60a4c01a5fb24f13c1ca58d&csf=1&web=1&e=tegTvi,,
ABX INFLUENZA VACCINE FLUBLOK EGG ALLERGY TEXT,Influenza Vaccine FLUBLOK is restricted to patients with documented severe allergy to eggs.PLEASE SELECT BELOW:,,,
ABX INFLUENZA VACCINE FLUBLOK RADIO BUTTONS,Patient has documented severe allergy-eggs,,,
ABX INTRANET CLICK THIS LINK,CLICK this Link for the CDSS Intranet Website...,,,
ABX ISABEL DIAGNOSIS MAIN PAGE,Click Here for Differential Diagnosis Tool,http://www.isabelhealthcare.com/suggest_diagnoses,,
ABX ISOLATION SIGNS,Isolation Precautions,https://dvagov.sharepoint.com/sites/min/SiteDirectory/InfCon/SitePages/Infection-Prevention.aspx,,
ABX IXODES SCAPULARIS IDENTIFICATION,"Ixodes scapularis identification, Minnesota Department of Health",https://www.health.state.mn.us/diseases/tickborne/ticks.html,,
ABX JLV LINK,JLV (Joint Legacy Viewer) - view all VA documented vaccinations,https://jlv.med.va.gov/JLV/,,
ABX JOHN HOPKINS ABX GUIDE,,http://www.hopkins-abxguide.org/,,
ABX LEADING TEXT DIAGNOSIS LAB VALUES,PERTINENT LABORATORY VALUES:,,,
ABX LEXICOMP CLICK HERE,Please Click Here to go to Lexicomp..,,,
ABX LEXICOMP INTERACTIONS,,https://online.lexi.com/lco/action/interact,,
ABX LEXICOMP ONLINE,Lexicomp online [Click Here],https://liblynxgateway.com/va,,
ABX LINE BREAK,,,,
ABX LUNG,PULMONARY:,,,
ABX LUNGS AND MEDIASTINUM HEADING,LUNGS AND MEDIASTINUM INDICATION:,,,
ABX MAB COVID CONSENT,Patient/Caregiver has consented to receiving this medication treatment authorized under EUA.,,,
ABX MAB COVID DATE,,,,
ABX MAB COVID EDUCATE,Patient/Caregiver has been counseled on this EUA medication treatment and provided printed information.,,,
ABX MAB COVID PURPOSE,Provider to select indication and enter date of symptoms onset or exposure:,,,
ABX MAB COVID SYMPT,Administration to begin within 10 days of symptom onset.,,,
ABX MAB COVID TX PROPH,TREATMENT symptom onset within 10 daysPROPHYLAXIS exposure within 10 daysimmune-suppressed patientPROPHYLAXIS exposure within 5 days immune-competent patient not fully vaccinated,,,
ABX MANDELL ONLINE,Mandell's online [Click Here],https://www.clinicalkey.com/#!/browse/book/3-s2.0-C2016100010X,,
ABX MDH ANTIBIOGRAM,Minnesota Department of Health,https://www.health.state.mn.us/diseases/antibioticresistance/abx/index.html,,
ABX MDH ANTIBIOGRAM CLICK LINK,CLICK the link below to go to the Minnesota Department of Health Antibiogram...,,,
ABX MDH RABIES GUIDE,"Rabies Guide, Minnesota Department of Health [Click Here]",https://www.health.state.mn.us/diseases/rabies/risk/index.html,,
ABX MEASLES OUTBREAK INFO,Measles Outbreak Information for Veterans PDF,\\v23.med.va.gov\V23\VISN 23\Services\VHA13FPC14\VISN23\CDSS\Measles Outbreak Information.pdf,,
ABX MICROGUIDE MOBILE APP LINK,Link to MicroGuide Web App,https://dvagov.sharepoint.com/sites/vhav23/CDSS/SitePages/MicroGuide.aspx,,
ABX MICROGUIDE WEB APP LINK,Link to MicroGuide Web App,https://viewer.microguide.global/MVAHS/ADULT15,,
ABX MICROMEDEX CLICK HERE,Please Click Here to go to Micromedex...,,,
ABX MICROMEDEX ONLINE,,http://vaww.visn23.med.va.gov/CPRSHelp/Clinical_References.htm,,
ABX MIIC LINK,MIIC (Minnesota Immunization Information Connection) - Non-VA vaccines,https://miic.health.state.mn.us/miic/psp?cmd=LoginHandler,,
ABX MINNEAPOLIS ON-CALL SCHEDULE,On-Call Schedule,http://vaww.visn23.med.va.gov/concall/index.asp,,
ABX MISCELLANEOUS HEADING,MISCELLANEOUS INDICATION: (PLEASE SPECIFY),,,
ABX MN TICKBORNE DISEASE RISK,"Tickborne disease risk map, Minnesota Department of Health",https://www.health.state.mn.us/diseases/lyme/highrisk.html,,
ABX MOLNUPIRAVIR EUA HCP FACT SHEET,Molnupiravir EUA Fact Sheet HCP,https://dvagov.sharepoint.com/:b:/r/sites/vhav23/CDSS/CDSS%20Resources/Molnupiravir%20EUA%20Providers.pdf?csf=1&web=1&e=qnjPPV,,
ABX MOLNUPIRAVIR FACT SHEET PATIENTS,Molnupiravir EUA Fact Sheet Patients,https://dvagov.sharepoint.com/:b:/r/sites/vhav23/CDSS/CDSS%20Resources/Molnupiravir%20EUA%20Patients.pdf?csf=1&web=1&e=7S8qDf,,
ABX MONKEYPOX,Monkeypox Guidance VISN 23,https://dvagov.sharepoint.com/:b:/r/sites/vhav23/CDSS/CDSS%20Resources/Monkeypox%20Guidance%202022.pdf?csf=1&web=1&e=z7IT8n,,
ABX MONKEYPOX MPLS PROVIDERS,Mpls Providers Monkeypox Guidance,https://dvagov.sharepoint.com/:w:/r/sites/vhav23/CDSS/CDSS%20Resources/MonkeypoxGuidanceMinneapolisProviders%208.10.docx?d=wc19300df8454472cafb118272cb49d30&csf=1&web=1&e=WJMUqB,,
ABX MONKEYPOX SHAREPOINT,,https://dvagov.sharepoint.com/sites/vhaminmonkeypox?xsdata=MDV8MDF8fDEzNjhhZjZkZjBkOTQzNTI3ZGVhMDhkYWExNWZlNGFifGU5NWYxYjIzYWJhZjQ1ZWU4MjFkYjdhYjI1MWFiM2JmfDF8MHw2Mzc5OTk3MzA0NTY3NTU2OTB8R29vZHxWR1ZoYlhOVFpXTjFjbWwwZVZObGNuWnBZMlY4ZXlKV0lqb,,
ABX MONOCLONAL ANTIBODY ALLOCATION SOP,COVID-19 Monoclonal Antibody and Antiviral Allocation SOP,https://dvagov.sharepoint.com/:b:/r/sites/vhav23/CDSS/CDSS%20Resources/04%20COVID19%20Antiviral%20and%20Monoclonal%20Antibody%20Treatment%20SOP%20.pdf?csf=1&web=1&e=7UazWz,,
ABX MPLS VAMC ABX SENSITIVITIES,Mpls VAMC Antibiotic Sensitivities,https://dvagov.sharepoint.com/:x:/r/sites/vhav23/CDSS/CDSS%20Resources/Antibiogram%20August%202021-July%202022--%2012%20month.xls?d=w0fdcb194fad74b96a6c61c1a549b7743&csf=1&web=1&e=wsduKf,,
ABX MRSA ALGORITHM,,\\vhaminfpc1\vamc\Infection Control\CONTACT_PRECAUTIONS_REMOVAL_CRITERIA.doc,,
ABX MVAMC INFECT CTRL INTRANET,Infection Prevention and Control SharePoint,https://dvagov.sharepoint.com/sites/min/SiteDirectory/InfCon/SitePages/Infection-Prevention.aspx,,
ABX NEUTROPENIC SCORING TOOL,,file:///Q:/CDSS/NEUTROPENIC.HTML,,
ABX NEW UP-TO-DATE MIAN,UP-TO-DATE MAIN PAGE,"http://vaww.visn23.med.va.gov/goto_uptodate.asp?unid=%username:~3,20%&srcsys=UTD187508&eiv=2.1.0?",,
ABX OPENING UPTODATE IN BACKGROUND,,"http://vaww.visn23.med.va.gov/goto_uptodate.asp?unid=%username:~3,20%&srcsys=UTD187508&eiv=2.1.0?",,
ABX PANCREATITIS DIAGNOSIS CLINICAL VALUES,"Acute onset of persistent, mid epigastric abdominal painPain radiating to backPain associated with eatingNausea and vomitingDyspnea due to diaphragmatic inflammation Pleural effusionFeverNone",,,
ABX PANCREATITIS DIAGNOSIS ORDER SET,"PANCREATITISINTRODUCTION - Acute pancreatitis is an acute inflammatory process of the pancreas. Acute pancreatitis should be suspected in patients with severe acute upper abdominal pain but requires biochemical or radiologic evidence to establish the diagnosis.CLASSIFICATION - Acute pancreatitis is divided into the following:*	Mild acute pancreatitis, which is characterized by the 	absence of organ failure and Local or systemic complications *	Moderately severe acute pancreatitis, which is 	characterized by 	transient organ failure (resolves within 48 hours)and/or local or 	systemic complications without Persistent organ failure (>48 hours)*	Severe acute pancreatitis, which is characterized by 	persistent organ failure that may involve one or multiple organs",,,
ABX PANCREATITIS DIAGNOSIS ORDER SET 2,"CLINICAL FEATURES - Most patients with acute pancreatitis have acute onset of persistent, severe epigastric abdominal pain. In some patients, the pain may be in the right upper quadrant or, rarely, confined to the left side.In patients with gallstone pancreatitis, the pain is well localized and the onset of pain is rapid, reaching maximum intensity in 10 to 20 minutes. In contrast, in patients with pancreatitis due to hereditary or metabolic causes or alcohol, the onset of pain may be less abrupt and the pain may be poorly localized. In approximately 50 percent of patients, the pain radiates to the back. The pain persists for several hours to days and may be partially relieved by sitting up or bending forward. Patients with severe acute pancreatitis may have dyspnea due to diaphragmatic inflammation secondary to pancreatitis, pleural effusions, or adult respiratory distress syndrome.",,,
ABX PANCREATITIS DIAGNOSIS ORDER SET 3,"Etiologies:---------------------------------------- *	Acute Alcoholic *	Non-bacterial *	Abscess, Pseudocyst, Post-Necrotizing *	Enterobacteriaceae *	Enterococcus sp. *	Staphylococcus aureus *	Staphylococcus epidermidis *	Anaerobes *	Candida sp.",,,
ABX PANCREATITIS DIAGNOSIS TEST,BSA: |BSA 1.2|Creatinine clearance: |CREATININE CLEARANCE|Amylase: |AMYLASE|Lipase: |LIPASE|,,,
ABX PANCREATITIS LEADING TEXT,SELECT ALL CLINICAL SYMPTOMS THAT APPLY TO PROCEED:,,,
ABX PANCREATITIS MD CONSULT LINK,MD CONSULT: PANCREATITIS,http://www.mdconsult.com/das/search/landingpageresults/428210287-3?search_id=1485280713&kw=pancreatitis,,
ABX PANCREATITIS PUBMED LINK,PubMed: Pancreatitis Link,http://www.ncbi.nlm.nih.gov/pubmed/?term=pancreatitis,,
ABX PANCREATITIS SANFORD LINK,SANFORD: PANCREATITIS,http://www.webedition-dva-sanfordguide.com/sanford-guide-online/disease-clinical-condition/pancreatitis?searchterm=PANCREATITIS,,
ABX PAXLOVID EUA HCP FACT SHEET,Paxlovid EUA Fact Sheet HCP,https://dvagov.sharepoint.com/:b:/r/sites/vhav23/CDSS/CDSS%20Resources/Paxlovid%20EUA%20Providers.pdf?csf=1&web=1&e=tqZdlC,,
ABX PAXLOVID FACT SHEET PATIENTS,Paxlovid EUA Fact Sheet Patients,https://dvagov.sharepoint.com/:b:/r/sites/vhav23/CDSS/CDSS%20Resources/Paxlovid%20EUA%20Patients.pdf?csf=1&web=1&e=h05esd,,
ABX PERITONEAL DIALYSLATE,Low Mag 1.5%Low Mag 2.5%Low Mag 4.25%,,,
ABX PHARMACIST PHONE/PAGER NUMBERS,Pharmacists Coverage Contact Information,https://dvagov.sharepoint.com/:x:/r/sites/vhav23/CDSS/CDSS%20Resources/Pharmacy%20coverage%20by%20team%20v.4.xlsx?d=w5de5c350df7d49f7b4e6bbeef53b5d33&csf=1&web=1&e=XMcPB8,,
ABX PORT CLICK LINK FOR THE PORT SCORE,Click on the following link for the CAPCalculator...,,,
ABX PORT FINISHED CLICK OK BELOW,When finished click OK below,,,
ABX POST EXPOSURE PROPHYLAXIS,,https://dvagov.sharepoint.com/:b:/r/sites/vhav23/CDSS/CDSS%20Resources/PEP.pdf?csf=1&web=1&e=ceK8lv,,
ABX POST EXPOSURE PROPHYLAXIS NPEP,,https://dvagov.sharepoint.com/:b:/r/sites/vhav23/CDSS/CDSS%20Resources/nPEP.pdf?csf=1&web=1&e=0BGkBY,,
ABX POST SCT VACCINATIONS BLOOD 2016,,\\v23.med.va.gov\V23\VISN 23\Services\VHA13FPC14\VISN23\CDSS\BloodSCTvaccinations2016.pdf,,
ABX POSTSCTVACCINATIONS2015NASHVILLE,,\\v23.med.va.gov\V23\VISN 23\Services\VHA13FPC14\VISN23\CDSS\PostSCTvaccinations2015Nashville.xlsx,,
ABX PREV OF BACT ENDOCARD,,http://circ.ahajournals.org/cgi/reprint/CIRCULATIONAHA.106.183095v1?maxtoshow=&HITS=10&hits=10&RESULTFORMAT=&fulltext=endocarditis+prophylaxis&searchid=1&FIRSTINDEX=0&resourcetype=HWCIT,,
ABX PRIORITY GROUP,12345,,,
ABX PROVIDER ID,Dr. DevriesDr. DrekonjaDr. KakaDr. NarayanDr. PragmanDr. Rothenberger,,,
ABX RABIES CLINIC ORDER,Clinic Order for Rabies Vaccine.,,,
ABX RABIES DAY 3-14,37 14,,,
ABX RABIES DAY 3-28,37 14 28,,,
ABX RABIES OPT RX,Outpatient Prescription for Rabies vaccine.,,,
ABX RABIES VACCINE 2ND DOSE,2nd dose on,,,
ABX RABIES VACCINE 3RD DOSE,3rd dose on,,,
ABX RABIES VACCINE 4TH DOSE,4th dose on,,,
ABX RABIES VACCINE 5TH DOSE,5th dose on,,,
ABX REMDESIVIR,Remdesivir PBM Document,\\v23.med.va.gov\V23\VISN 23\Services\VHA13FPC14\VISN23\CDSS\Remdesivir.pdf,,
ABX REMDESIVIR EXPANDED USE DIRECTIONS,Remdesivir Expanded Use Directions,\\v23.med.va.gov\V23\VISN 23\Services\VHA13FPC14\VISN23\CDSS\Remdesivir Expanded Use Directions.pptx,,
ABX REMDESIVIR PI,Remdesivir Package Insert FDA Approved,https://dvagov.sharepoint.com/:b:/r/sites/vhav23/CDSS/CDSS%20Resources/Remdesivir%20PI.pdf?csf=1&web=1&e=NkHCgM,,
ABX RESOURCE QTC PROLONGATION DRUGS,Resource for QT prolongation for meds,https://crediblemeds.org/,,
ABX RIFAXAMIN ID APPROVAL VERIFICATION,Infectious Diseases provider has approved use of rifaxamin in this patient,,,
ABX RITUXIMAB ORDER INSTRUCTIONS,Rituximab Ordering Instructions,https://dvagov.sharepoint.com/:b:/r/sites/vhav23/CDSS/CDSS%20Resources/Rituximab_Order_Instructions.pdf?csf=1&web=1&e=C2GG6o,,
ABX SANFORD GUIDE WEBSITE,,https://dva.sanfordguide.com/,,
ABX SANFORD PREGNANCY WEBSITE,Sanford Guide Pregnancy Risk & Lactation Safety Table [Click Here},https://dva.sanfordguide.com/comparisons-1/pregnancy_risk_lactation_safety,,
ABX SANFORD WEB EDITION,link to sanford web,http://www.webedition-dva-sanfordguide.com/,,
ABX SANFORD WEBSITE,,http://www.webedition-dva-sanfordguide.com/,,
ABX SCREENING CPO&CAURIS SOP,Screening Candida Auris & Carbapenamase-Producing Organisms SOP,https://dvagov.sharepoint.com/:w:/r/sites/vhav23/CDSS/CDSS%20Resources/Carbapenamase-Producing%20Organisms%20and%20C.%20auris%20Screening%20SOP%2012092022.docx?d=wbb4be99653b24c659764c300df16651f&csf=1&web=1&e=fauX52,,
ABX SENSITIVITIES CLICK LINK BELOW,CLICK the link below to go to the Mpls VAMC Antibiotic Sensitivities...,,,
ABX SEVERE SEPSIS CLICK THIS LINK,CLICK the link below for the Severe sepsis screening tool...,,,
ABX SEVERE SEPSIS PROTOCOL DOC,,http://vaww.visn23.med.va.gov/CPRSHelp/documents/Severe_Sepsis_Protocol.doc,,
ABX SINUSITIS ALGORITHM,Sinusitis management algorithm,\\10.104.8.227\Visn 23\VHA13FPC14\VISN23\CDSS\Acute Sinusitis Algorithm.htm,,
ABX SOFA ONLINE CALCULATOR,SOFA Online Calculator [Click Here],https://www.mdcalc.com/sequential-organ-failure-assessment-sofa-score,,
ABX SOTROVIMAB EUA HCP FACT SHEET,Sotrovimab EUA Fact Sheet HCP,https://www.fda.gov/media/149534/download,,
ABX SOTROVIMAB FACT SHEET PATIENTS,Sotrovimab (EUA) Patient Fact Sheet,https://www.fda.gov/media/149533/download,,
ABX SPLENECTOMY VACCINES,Asplenia Vaccine Recommendations,https://dvagov.sharepoint.com/:b:/r/sites/vhav23/CDSS/CDSS%20Resources/SPLENECTOMY%20VACCINES.pdf?csf=1&web=1&e=htPSnR,,
ABX SURGICAL PROPHYLAXIS GUIDELINES 2013,Hyperlink to 2013 Surgical Prophylaxis GuidelinesPubmed link,https://www.ncbi.nlm.nih.gov/pubmed/23327981,,
ABX SURGICAL PROPHYLAXIS INDICATION EDIT,,,,
ABX SURGICAL PROPHYLAXIS INDICATION HEADER,*Indication/Type of Surgery:,,,
ABX THERADOC LINK,TheraDoc Link,https://vhamintdapp.v23.med.va.gov/theradoc/login,,
ABX TOCILIZUMAB FACT SHEET PATIENT,Link to Genentech tocilizumab fact sheet for patients,https://dvagov.sharepoint.com/:b:/r/sites/vhav23/CDSS/CDSS%20Resources/Genentech%20tocilizumab%20fact%20sheet%20for%20patients%20parents%20and%20caregivers.pdf?csf=1&web=1&e=lNTHl5,,
ABX TOCILIZUMAB FACT SHEET PROVIDER,Link to Genentech tocilizumab fact sheet for health care providers,https://dvagov.sharepoint.com/:b:/r/sites/vhav23/CDSS/CDSS%20Resources/Genentech%20tocilizumab%20fact%20sheet%20for%20health%20care%20providers.pdf?csf=1&web=1&e=adRKnK,,
ABX TPOXX SHAREPOINT LINK,Teams Monkeypox Taskforce Documents Link,https://dvagov.sharepoint.com/:f:/r/sites/VHAMINMonkeypoxTaskForce/Shared%20Documents/General/MPX%20Treatment/Current%20EAP%20documents?csf=1&web=1&e=gwdDf2,,
ABX UP TO DATE LINKS,Up-to-Date Link,http://www.uptodate.com/contents/search.do?unid=minmasoub&srcsys=UTD187508&eiv=2.1.0,,
ABX UPTODATE CLICK LINK BELOW,CLICK the link below to go to Up To Date...,,,
ABX UROLOGIC SURGERY PROPHYLAXIS GUIDELINES,AUA Surgery ABX Prophylaxis Guidelines 2019,https://www.auajournals.org/doi/10.1097/JU.0000000000000509,,
ABX UROLOGIC SURGERY PUBMED PROPHY GUIDELINES,AUA Surgery ABX Prophylaxis Guidelines Published Article 2019 <Link>,https://www.ncbi.nlm.nih.gov/pubmed/31441676,,
